MLY-TAVG-NORMAL,AVERAGE TEMPERATURE
MLY-TMAX-AVGNDS-LSTH032,NUMBER OF DAYS WITH MAXIMUM TEMPERATURE LE 32F
MLY-TMIN-AVGNDS-LSTH000,NUMBER OF DAYS WITH MINIMUM TEMPERATURE LE 0F
MLY-TMIN-AVGNDS-LSTH010,NUMBER OF DAYS WITH MINIMUM TEMPERATURE LE 10F
MLY-TMIN-AVGNDS-LSTH020,NUMBER OF DAYS WITH MINIMUM TEMPERATURE LE 20F
MLY-TMIN-AVGNDS-LSTH032,NUMBER OF DAYS WITH MINIMUM TEMPERATURE LE 32F
MLY-TMIN-AVGNDS-LSTH040,NUMBER OF DAYS WITH MINIMUM TEMPERATURE LE 40F
MLY-TMIN-AVGNDS-LSTH050,NUMBER OF DAYS WITH MINIMUM TEMPERATURE LE 50F
MLY-TMIN-AVGNDS-LSTH060,NUMBER OF DAYS WITH MINIMUM TEMPERATURE LE 60F
MLY-TMIN-AVGNDS-LSTH070,NUMBER OF DAYS WITH MINIMUM TEMPERATURE LE 70F
MLY-TMIN-PRBOCC-LSTH016,PROBABILITY OF MINIMUM TEMPERATURE AT LEAST ONCE LE 16F
MLY-TMIN-PRBOCC-LSTH020,PROBABILITY OF MINIMUM TEMPERATURE AT LEAST ONCE LE 20F
MLY-TMIN-PRBOCC-LSTH024,PROBABILITY OF MINIMUM TEMPERATURE AT LEAST ONCE LE 24F
MLY-TMIN-PRBOCC-LSTH028,PROBABILITY OF MINIMUM TEMPERATURE AT LEAST ONCE LE 28F
MLY-TMIN-PRBOCC-LSTH032,PROBABILITY OF MINIMUM TEMPERATURE AT LEAST ONCE LE 32F
MLY-TMIN-PRBOCC-LSTH036,PROBABILITY OF MINIMUM TEMPERATURE AT LEAST ONCE LE 36F
